Edad,Género,Carrera,Materias Inscritas,Horas de Estudio por Semana,Asistencia (%),Uso de Plataforma Virtual,Promedio (GPA),Trabajo,Acceso a Internet
19,Femenino,Derecho,5,25,52.2,Canvas,2.34,No,No
31,Femenino,Derecho,4,23,66.8,Blackboard,1.92,No,Sí
30,Femenino,Ingeniería en Sistemas,5,17,80.7,Blackboard,2.26,Sí,Sí
27,Masculino,Administración de Empresas,8,4,84.6,Google Classroom,2.1,No,Sí
31,Masculino,Ingeniería en Sistemas,6,13,55.2,Blackboard,1.5,No,No
29,Femenino,Derecho,6,22,76.7,Blackboard,2.01,No,No
34,Femenino,Psicología,8,19,86.1,Microsoft Teams,2.12,Sí,No
22,No binario,Medicina,6,7,72.7,Microsoft Teams,1.87,No,Sí
19,Masculino,Turismo,7,5,81.8,Microsoft Teams,1.69,No,Sí
35,Femenino,Arquitectura,5,19,70.7,Moodle,2.52,Sí,Sí
31,Masculino,Ingeniería en Sistemas,4,10,91.6,Blackboard,2.31,Sí,Sí
21,Masculino,Administración de Empresas,8,11,66,Blackboard,2.37,Sí,No
26,Femenino,Administración de Empresas,7,22,60.9,Blackboard,1.82,Sí,Sí
23,Femenino,Turismo,4,26,78.4,Zoom,2.82,No,No
33,No binario,Mercadotecnia,4,12,56.5,Microsoft Teams,1.5,No,Sí
23,Masculino,Medicina,8,17,46.4,Canvas,1.86,Sí,Sí
28,Masculino,Enfermería,7,17,94.3,Google Classroom,2.68,Sí,Sí
33,Femenino,Comunicación Social,4,16,63.2,Canvas,1.68,No,Sí
29,Femenino,Derecho,4,18,58,Moodle,1.91,Sí,Sí
20,Masculino,Enfermería,7,23,65.8,Moodle,2.36,No,Sí
26,Masculino,Mercadotecnia,6,13,65.2,Blackboard,1.7,Sí,No
19,Masculino,Derecho,4,7,75.9,Canvas,2.05,No,Sí
25,Femenino,Medicina,5,29,61.6,Blackboard,2.21,Sí,Sí
29,Masculino,Ingeniería Industrial,7,25,85.5,Zoom,3.45,Sí,Sí
34,Masculino,Mercadotecnia,4,10,87.7,Moodle,2.48,Sí,Sí
31,Masculino,Derecho,8,18,58.9,Moodle,2.08,No,Sí
20,Masculino,Medicina,5,25,68.7,Canvas,3.34,No,Sí
31,Masculino,Contaduría Pública,4,23,70.2,Moodle,2.33,No,Sí
18,Femenino,Enfermería,5,21,75.5,Zoom,2.63,No,Sí
31,Masculino,Enfermería,5,16,94.2,Zoom,2.66,Sí,Sí
24,Femenino,Comunicación Social,6,30,95.1,Zoom,3.47,No,No
24,Masculino,Turismo,5,19,100,Google Classroom,3.29,Sí,Sí
33,Femenino,Medicina,6,14,44,Zoom,1.67,No,Sí
28,Femenino,Ingeniería en Sistemas,7,24,64.1,Zoom,2.66,No,Sí
35,Femenino,Contaduría Pública,6,18,100,Google Classroom,2.63,No,Sí
26,Femenino,Ingeniería Industrial,8,20,51,Blackboard,1.85,Sí,Sí
25,Masculino,Psicología,4,19,100,Microsoft Teams,3.34,Sí,Sí
21,Masculino,Derecho,7,21,80.2,Moodle,2.72,No,Sí
22,Femenino,Contaduría Pública,7,11,80.8,Zoom,2.18,No,Sí
18,No binario,Medicina,8,7,58.8,Moodle,1.5,Sí,Sí
29,Femenino,Arquitectura,6,28,71.2,Canvas,2.96,Sí,Sí
22,Femenino,Derecho,4,19,100,Moodle,2.61,No,Sí
21,Femenino,Administración de Empresas,6,23,77.3,Blackboard,2.25,Sí,Sí
17,Femenino,Enfermería,5,5,71.3,Google Classroom,1.68,No,Sí
22,Masculino,Turismo,6,25,84.1,Moodle,2.07,Sí,Sí
22,Femenino,Medicina,7,14,75.1,Moodle,2.31,No,Sí
32,Femenino,Ingeniería Industrial,4,12,83.2,Moodle,2.31,No,Sí
20,Masculino,Administración de Empresas,6,17,65.3,Microsoft Teams,1.96,No,Sí
27,Femenino,Comunicación Social,4,11,76.8,Microsoft Teams,1.95,Sí,No
25,Masculino,Mercadotecnia,4,17,68.4,Canvas,2.09,Sí,Sí
19,Femenino,Psicología,5,17,50.9,Google Classroom,1.54,No,Sí
35,Masculino,Psicología,5,25,85.2,Moodle,2.87,No,Sí
24,Femenino,Administración de Empresas,7,28,59.5,Moodle,2.36,No,Sí
21,Femenino,Enfermería,8,28,75.5,Moodle,2.79,No,Sí
20,Masculino,Comunicación Social,4,3,91.9,Moodle,1.92,No,Sí
22,Femenino,Arquitectura,8,11,55.5,Microsoft Teams,1.5,No,Sí
18,Femenino,Enfermería,7,3,87.1,Blackboard,1.96,No,No
27,Femenino,Contaduría Pública,4,9,73.5,Blackboard,2.1,Sí,Sí
20,Masculino,Turismo,4,13,63.5,Canvas,1.69,No,Sí
31,Masculino,Psicología,8,20,100,Zoom,3.01,Sí,Sí
22,Masculino,Contaduría Pública,6,14,78,Google Classroom,2.34,Sí,Sí
33,No binario,Ingeniería Industrial,5,14,69.5,Blackboard,1.63,Sí,Sí
22,Femenino,Derecho,6,19,66.3,Moodle,2.46,Sí,Sí
35,Femenino,Ingeniería en Sistemas,8,6,91.2,Blackboard,2.71,No,Sí
18,Femenino,Medicina,5,12,68.8,Canvas,1.88,Sí,Sí
31,Femenino,Comunicación Social,6,14,89.3,Zoom,2.36,Sí,Sí
27,Femenino,Enfermería,5,16,78,Blackboard,2.21,Sí,Sí
24,Masculino,Psicología,4,18,94.7,Canvas,2.88,Sí,No
35,Femenino,Contaduría Pública,6,28,62.4,Microsoft Teams,2.65,Sí,Sí
29,Masculino,Mercadotecnia,5,24,64.5,Zoom,1.88,No,Sí
28,Femenino,Turismo,5,12,73.8,Canvas,1.75,Sí,Sí
21,Femenino,Turismo,5,16,75,Blackboard,2.36,No,Sí
22,Femenino,Derecho,6,15,72.7,Microsoft Teams,2.08,No,Sí
20,Masculino,Medicina,7,14,100,Canvas,2.27,No,Sí
35,Masculino,Medicina,6,19,100,Canvas,3.29,Sí,Sí
17,Masculino,Turismo,8,4,82.5,Blackboard,1.59,Sí,Sí
33,Masculino,Turismo,6,24,84.3,Zoom,2.76,No,Sí
28,Masculino,Enfermería,5,29,74.5,Microsoft Teams,2.73,Sí,Sí
31,Femenino,Comunicación Social,4,16,62.3,Moodle,1.63,No,Sí
17,Femenino,Arquitectura,6,15,75.3,Google Classroom,2.23,No,Sí
30,Masculino,Ingeniería Industrial,6,19,89.6,Zoom,2.75,No,No
22,Masculino,Mercadotecnia,5,25,97.6,Microsoft Teams,2.92,No,Sí
21,Masculino,Ingeniería Industrial,4,15,92.9,Canvas,2.42,No,No
27,Femenino,Enfermería,4,24,55.4,Microsoft Teams,2.35,Sí,Sí
20,Femenino,Contaduría Pública,8,21,73.7,Google Classroom,1.81,No,Sí
29,Femenino,Ingeniería en Sistemas,6,34,56,Blackboard,2.38,Sí,Sí
27,Femenino,Turismo,4,15,95.5,Google Classroom,2.64,Sí,Sí
19,No binario,Administración de Empresas,4,4,71.8,Moodle,1.5,No,Sí
17,Femenino,Arquitectura,7,7,77.3,Moodle,1.69,No,Sí
22,Masculino,Comunicación Social,7,18,85.2,Google Classroom,2.77,No,Sí
34,Femenino,Derecho,4,25,100,Zoom,2.92,No,No
26,Masculino,Arquitectura,8,13,82,Zoom,2.81,Sí,Sí
21,Femenino,Turismo,4,16,74.4,Canvas,1.67,No,Sí
26,Masculino,Psicología,5,22,59.4,Moodle,1.5,No,Sí
28,Femenino,Comunicación Social,6,11,99.9,Canvas,2.75,Sí,Sí
18,Femenino,Ingeniería en Sistemas,8,13,75.3,Moodle,1.79,No,Sí
29,Femenino,Psicología,5,9,100,Google Classroom,2.11,Sí,Sí
24,Femenino,Arquitectura,8,26,94.6,Zoom,3.34,No,Sí
18,Masculino,Administración de Empresas,5,28,71.1,Zoom,2.52,Sí,Sí
17,Masculino,Administración de Empresas,6,6,57.1,Google Classroom,1.68,No,Sí
21,Masculino,Ingeniería en Sistemas,6,17,82.1,Canvas,2.21,No,No
25,Masculino,Medicina,7,27,68.8,Canvas,2.68,Sí,Sí
33,Femenino,Mercadotecnia,5,20,78.6,Microsoft Teams,2.31,Sí,Sí
25,Masculino,Turismo,7,14,93.7,Moodle,2.22,Sí,Sí
27,No binario,Derecho,5,7,53.2,Canvas,1.89,Sí,No
31,Femenino,Turismo,7,26,82,Google Classroom,3.13,No,Sí
22,Femenino,Medicina,6,20,89.4,Canvas,2.46,Sí,Sí
19,Masculino,Ingeniería Industrial,8,7,90.1,Zoom,2.06,Sí,No
33,Femenino,Ingeniería Industrial,7,26,57.5,Moodle,2.75,No,No
21,Femenino,Ingeniería Industrial,5,6,84.3,Blackboard,1.66,No,Sí
28,Femenino,Administración de Empresas,5,16,96.1,Microsoft Teams,2.35,Sí,Sí
34,Femenino,Administración de Empresas,6,16,83.1,Moodle,2.51,Sí,Sí
30,Femenino,Contaduría Pública,5,29,76.3,Zoom,3.5,Sí,Sí
27,Masculino,Psicología,4,16,95.1,Zoom,2.63,No,Sí
25,Femenino,Arquitectura,8,16,67.6,Zoom,2.38,Sí,Sí
18,Masculino,Derecho,7,8,55.1,Zoom,1.5,No,Sí
28,Masculino,Ingeniería en Sistemas,8,13,75,Google Classroom,2.19,Sí,Sí
19,Masculino,Arquitectura,6,12,86,Microsoft Teams,2.15,Sí,Sí
19,Masculino,Turismo,7,12,93.6,Blackboard,2.97,No,Sí
17,Masculino,Contaduría Pública,7,18,86,Zoom,3,No,Sí
24,Masculino,Administración de Empresas,4,3,90.5,Zoom,2.63,No,Sí
24,Femenino,Ingeniería en Sistemas,6,7,93.7,Canvas,1.98,Sí,Sí
27,Femenino,Administración de Empresas,5,17,72.9,Microsoft Teams,2.22,Sí,No
25,Femenino,Derecho,4,18,75.8,Moodle,2.43,Sí,Sí
21,Masculino,Psicología,4,16,97.3,Microsoft Teams,2.46,No,Sí
30,Masculino,Arquitectura,8,17,59.8,Microsoft Teams,1.99,Sí,Sí
19,Femenino,Arquitectura,8,15,84.4,Blackboard,2.63,Sí,Sí
21,Masculino,Ingeniería Industrial,8,17,67.2,Microsoft Teams,1.93,Sí,Sí
21,Masculino,Medicina,4,21,94.5,Blackboard,2.61,No,Sí
35,Femenino,Ingeniería Industrial,5,20,77.7,Zoom,2.21,No,Sí
30,Masculino,Ingeniería en Sistemas,7,13,78.1,Zoom,1.74,No,Sí
20,Femenino,Mercadotecnia,8,24,100,Google Classroom,3.32,Sí,Sí
29,Femenino,Ingeniería Industrial,5,19,61.9,Blackboard,1.87,No,Sí
26,Masculino,Contaduría Pública,6,26,81.2,Blackboard,2.54,Sí,Sí
34,Masculino,Ingeniería Industrial,8,28,75.3,Moodle,2.91,Sí,Sí
24,Femenino,Ingeniería Industrial,7,7,86,Canvas,2.03,No,Sí
24,Femenino,Mercadotecnia,6,11,100,Microsoft Teams,2.33,Sí,Sí
23,Masculino,Medicina,6,23,68.9,Moodle,2.64,Sí,Sí
24,No binario,Derecho,7,6,60,Blackboard,1.5,Sí,Sí
30,Masculino,Contaduría Pública,8,27,65.9,Moodle,1.86,Sí,Sí
35,Femenino,Ingeniería Industrial,4,15,74.5,Google Classroom,2.56,Sí,Sí
22,No binario,Psicología,7,22,79,Canvas,2.31,No,Sí
17,Masculino,Mercadotecnia,7,17,79.7,Blackboard,2.13,No,Sí
31,Masculino,Psicología,7,8,100,Blackboard,2.14,Sí,Sí
17,Masculino,Mercadotecnia,6,25,100,Microsoft Teams,3.13,No,No
33,Masculino,Psicología,5,37,97.5,Canvas,3.51,Sí,Sí
17,Masculino,Mercadotecnia,4,14,100,Google Classroom,2.92,Sí,Sí
31,Femenino,Turismo,8,15,90.4,Zoom,2.97,No,Sí
18,Masculino,Psicología,8,3,94.6,Moodle,1.82,Sí,Sí
30,Femenino,Medicina,5,27,90.1,Microsoft Teams,2.72,No,Sí
24,No binario,Comunicación Social,7,24,87.6,Blackboard,2.66,Sí,No
24,Femenino,Contaduría Pública,4,5,83.9,Zoom,2.03,No,Sí
35,Femenino,Ingeniería en Sistemas,8,3,72,Google Classroom,1.54,No,Sí
23,Masculino,Derecho,8,4,59.3,Canvas,1.5,Sí,No
35,Femenino,Turismo,7,22,76,Moodle,2.11,Sí,Sí
22,Femenino,Enfermería,5,23,86.5,Microsoft Teams,2.09,No,Sí
22,Masculino,Administración de Empresas,4,11,79.1,Blackboard,1.77,Sí,Sí
19,Masculino,Ingeniería Industrial,5,21,62,Blackboard,2.55,Sí,Sí
23,Femenino,Ingeniería en Sistemas,5,19,75.5,Zoom,2.49,No,Sí
35,Masculino,Administración de Empresas,4,15,74.7,Zoom,2.1,Sí,Sí
24,Masculino,Contaduría Pública,4,24,77.1,Moodle,2.83,No,No
26,Masculino,Ingeniería en Sistemas,8,9,85.4,Canvas,1.72,Sí,Sí
31,Masculino,Psicología,8,26,88.6,Google Classroom,2.94,Sí,Sí
31,Femenino,Psicología,4,12,70.5,Canvas,1.5,No,Sí
17,Femenino,Enfermería,6,30,92.7,Canvas,3.29,No,Sí
23,Femenino,Administración de Empresas,8,10,95,Canvas,2.42,Sí,Sí
20,Masculino,Derecho,6,15,82.8,Moodle,2.41,No,Sí
22,Masculino,Contaduría Pública,4,18,88,Moodle,2.91,Sí,Sí
17,Femenino,Psicología,8,18,92.8,Google Classroom,2.89,No,Sí
21,Masculino,Ingeniería Industrial,5,21,61.5,Canvas,1.8,Sí,Sí
17,Masculino,Comunicación Social,4,9,93.8,Moodle,2.63,No,Sí
20,Femenino,Medicina,7,17,66.1,Google Classroom,2.01,No,Sí
18,Masculino,Medicina,6,18,67.6,Blackboard,1.56,No,Sí
26,Femenino,Mercadotecnia,4,14,80.9,Google Classroom,2.21,No,Sí
21,Masculino,Derecho,4,20,45.8,Canvas,2,No,Sí
26,Masculino,Medicina,8,8,80.6,Microsoft Teams,1.66,No,Sí
17,Masculino,Mercadotecnia,8,15,92.7,Canvas,2.92,No,Sí
22,No binario,Administración de Empresas,8,12,53.3,Microsoft Teams,1.5,No,Sí
29,Femenino,Psicología,7,15,94.3,Google Classroom,2.41,Sí,Sí
31,Femenino,Turismo,8,28,67.5,Blackboard,2.4,Sí,Sí
20,Femenino,Psicología,4,28,81.1,Blackboard,2.35,No,Sí
29,Masculino,Turismo,8,26,69.7,Moodle,2.25,Sí,Sí
31,Femenino,Ingeniería Industrial,5,14,86.6,Blackboard,2.14,Sí,Sí
24,Femenino,Comunicación Social,8,24,93.4,Zoom,2.9,No,No
21,Femenino,Ingeniería en Sistemas,7,18,87.7,Google Classroom,1.65,Sí,Sí
31,Masculino,Medicina,5,18,77.9,Moodle,2.57,Sí,No
20,Femenino,Administración de Empresas,4,17,70.9,Blackboard,2.39,No,Sí
28,Masculino,Turismo,4,30,77,Google Classroom,3.23,Sí,Sí
29,Masculino,Arquitectura,6,27,87.8,Canvas,2.51,No,Sí
18,Femenino,Medicina,5,23,88.4,Blackboard,2.7,No,Sí
35,Femenino,Derecho,6,16,86.3,Microsoft Teams,2.72,Sí,Sí
35,Masculino,Ingeniería Industrial,5,18,58.8,Google Classroom,2.28,Sí,Sí
20,Masculino,Ingeniería en Sistemas,5,21,77.7,Moodle,2.93,No,Sí
20,Femenino,Medicina,7,14,68.5,Canvas,2.02,No,Sí
27,Femenino,Administración de Empresas,6,24,88,Zoom,2.81,Sí,Sí
21,Femenino,Medicina,7,11,66.5,Canvas,1.5,Sí,Sí
27,Femenino,Turismo,5,20,84.8,Blackboard,2.9,Sí,Sí
26,Femenino,Derecho,4,3,73.8,Microsoft Teams,1.5,Sí,Sí
24,Masculino,Arquitectura,5,14,49.8,Canvas,1.63,No,Sí
22,Femenino,Contaduría Pública,7,32,92,Zoom,3.25,No,Sí
22,Masculino,Enfermería,6,25,77.6,Moodle,1.94,Sí,Sí
24,Masculino,Arquitectura,6,28,97.1,Google Classroom,2.94,Sí,Sí
31,Femenino,Mercadotecnia,7,13,53,Microsoft Teams,1.77,Sí,Sí
30,Masculino,Medicina,6,18,73.6,Zoom,2.26,Sí,Sí
27,Femenino,Psicología,8,26,74.8,Blackboard,2.79,Sí,Sí
28,Femenino,Comunicación Social,4,22,82.1,Blackboard,2.85,Sí,No
29,Femenino,Psicología,4,21,58.1,Blackboard,1.85,Sí,Sí
24,Femenino,Arquitectura,4,29,86.2,Microsoft Teams,2.86,Sí,Sí
34,Femenino,Turismo,6,10,100,Canvas,2.4,No,No
17,Femenino,Psicología,6,16,85.1,Microsoft Teams,2.65,No,No
31,Femenino,Administración de Empresas,5,5,79.4,Blackboard,1.74,Sí,Sí
24,Masculino,Psicología,5,10,57.3,Zoom,1.5,Sí,Sí
27,Femenino,Ingeniería en Sistemas,4,25,66.4,Google Classroom,2.38,Sí,Sí
28,Masculino,Contaduría Pública,8,11,77.2,Google Classroom,2.25,Sí,Sí
28,Femenino,Medicina,5,23,70.1,Microsoft Teams,2.83,Sí,Sí
20,Femenino,Ingeniería Industrial,5,29,93.4,Blackboard,3.24,Sí,Sí
32,Femenino,Psicología,6,16,86,Moodle,1.99,No,No
20,Masculino,Derecho,8,21,100,Microsoft Teams,2.81,Sí,Sí
21,Masculino,Ingeniería Industrial,4,23,63.3,Blackboard,2.43,No,Sí
21,Femenino,Contaduría Pública,5,9,78.5,Canvas,2.23,No,Sí
24,Masculino,Turismo,8,13,57.2,Google Classroom,1.87,No,Sí
26,Masculino,Contaduría Pública,8,10,44.7,Google Classroom,1.5,Sí,Sí
33,Masculino,Psicología,4,14,88.8,Google Classroom,2.66,No,Sí
25,Femenino,Contaduría Pública,8,23,85.4,Moodle,2.54,No,Sí
35,Femenino,Ingeniería Industrial,8,13,65.2,Blackboard,1.94,Sí,Sí
30,Masculino,Comunicación Social,8,17,79.4,Blackboard,2.57,Sí,Sí
24,Masculino,Turismo,5,10,68.6,Blackboard,1.99,Sí,Sí
25,Masculino,Psicología,4,26,70.6,Blackboard,2.75,No,Sí
27,Femenino,Administración de Empresas,8,14,73.2,Moodle,2.26,No,Sí
17,Femenino,Arquitectura,8,28,64.6,Zoom,2.22,No,Sí
30,Masculino,Ingeniería en Sistemas,5,18,67.3,Microsoft Teams,2.15,No,Sí
21,Masculino,Enfermería,4,8,67.7,Microsoft Teams,1.5,Sí,Sí
30,Masculino,Mercadotecnia,6,16,84.3,Blackboard,2.31,Sí,Sí
20,Femenino,Turismo,5,10,36.4,Canvas,1.5,No,Sí
17,Femenino,Contaduría Pública,4,22,74.6,Google Classroom,2.57,No,Sí
35,Masculino,Administración de Empresas,8,16,61.7,Moodle,1.5,Sí,Sí
24,Masculino,Medicina,4,19,62.2,Canvas,2.27,No,Sí
31,Masculino,Medicina,4,15,70.1,Canvas,2.07,No,Sí
31,Femenino,Mercadotecnia,4,14,77.8,Blackboard,2.75,No,Sí
25,Masculino,Turismo,6,11,74.8,Moodle,1.92,No,Sí
25,Femenino,Turismo,4,23,62,Microsoft Teams,2.2,No,No
26,Femenino,Ingeniería en Sistemas,6,16,88.8,Google Classroom,2.69,Sí,Sí
25,Masculino,Contaduría Pública,8,15,64.5,Microsoft Teams,1.91,No,Sí
19,Masculino,Comunicación Social,6,16,67,Canvas,2.13,Sí,Sí
27,Masculino,Mercadotecnia,8,13,82.3,Google Classroom,2.52,No,No
22,Femenino,Ingeniería en Sistemas,8,15,82.8,Zoom,2.24,Sí,Sí
18,Femenino,Contaduría Pública,6,19,68.8,Canvas,2.58,No,Sí
23,Femenino,Ingeniería Industrial,5,10,34,Microsoft Teams,1.5,Sí,No
34,Femenino,Administración de Empresas,7,11,64.7,Microsoft Teams,2.26,Sí,No
18,Masculino,Arquitectura,4,27,80.4,Blackboard,2.27,No,Sí
33,Femenino,Comunicación Social,7,15,88.3,Microsoft Teams,2.84,No,Sí
27,Femenino,Ingeniería Industrial,4,14,76.8,Moodle,1.6,No,Sí
28,Masculino,Ingeniería Industrial,4,8,70.8,Canvas,2.37,Sí,Sí
35,No binario,Enfermería,8,23,100,Google Classroom,3.07,No,Sí
23,Femenino,Medicina,4,10,72.4,Microsoft Teams,1.61,No,Sí
22,Femenino,Derecho,4,17,87.2,Blackboard,3.06,No,Sí
17,Femenino,Administración de Empresas,6,6,58,Blackboard,1.5,Sí,Sí
33,Femenino,Medicina,7,23,61.6,Microsoft Teams,2.19,No,Sí
27,Femenino,Psicología,6,26,87.7,Moodle,3.69,Sí,No
34,Masculino,Ingeniería Industrial,4,21,93.7,Blackboard,2.93,No,Sí
33,Masculino,Derecho,8,7,72.2,Google Classroom,1.5,No,Sí
23,Femenino,Turismo,6,23,50.3,Canvas,1.95,No,Sí
33,Masculino,Medicina,6,12,75.5,Zoom,1.93,No,No
25,Masculino,Ingeniería en Sistemas,5,9,80.8,Moodle,2.07,Sí,Sí
33,Masculino,Comunicación Social,4,15,79.5,Blackboard,2.24,Sí,Sí
24,Masculino,Medicina,8,15,69.5,Canvas,2.22,Sí,Sí
33,Femenino,Enfermería,6,14,75.7,Zoom,1.68,Sí,Sí
23,Femenino,Arquitectura,6,26,66.8,Microsoft Teams,2.33,No,No
17,Masculino,Ingeniería en Sistemas,8,32,61.3,Microsoft Teams,2.74,No,Sí
29,Masculino,Administración de Empresas,4,8,89.3,Google Classroom,1.91,No,Sí
35,Masculino,Administración de Empresas,5,13,79.5,Zoom,2.5,Sí,Sí
35,Femenino,Administración de Empresas,6,18,75.7,Microsoft Teams,2.09,Sí,Sí
33,Femenino,Administración de Empresas,5,15,70.4,Microsoft Teams,2.12,Sí,Sí
29,Masculino,Arquitectura,7,20,75.3,Blackboard,2.36,Sí,Sí
32,Femenino,Medicina,4,24,80.4,Google Classroom,2.37,Sí,Sí
24,Femenino,Contaduría Pública,7,23,100,Canvas,3.04,No,Sí
35,Femenino,Medicina,7,22,87.8,Microsoft Teams,2.34,Sí,Sí
34,Femenino,Ingeniería Industrial,7,29,68,Moodle,2.52,No,Sí
17,Masculino,Psicología,4,6,68.2,Moodle,1.64,Sí,Sí
30,Femenino,Comunicación Social,4,28,65.8,Canvas,2.13,No,Sí
35,Femenino,Derecho,8,15,75,Zoom,2.35,No,Sí
31,Femenino,Contaduría Pública,5,23,65.8,Google Classroom,2.42,No,Sí
34,Femenino,Contaduría Pública,5,10,85.1,Blackboard,2.31,No,No
18,Femenino,Ingeniería Industrial,8,11,38.3,Moodle,1.5,No,Sí
33,Femenino,Medicina,8,22,86,Moodle,2.35,No,Sí
34,Masculino,Contaduría Pública,7,4,82.1,Canvas,1.82,No,No
22,Femenino,Mercadotecnia,8,24,96.9,Zoom,3.19,Sí,No
35,No binario,Mercadotecnia,6,26,91.2,Zoom,2.62,Sí,Sí
20,Femenino,Psicología,5,19,67.7,Canvas,1.87,Sí,Sí
17,Masculino,Turismo,8,18,89.5,Moodle,2.52,No,Sí
24,Masculino,Derecho,6,12,75.5,Google Classroom,1.93,No,Sí
23,Masculino,Enfermería,6,22,49,Moodle,1.95,No,Sí
19,Femenino,Arquitectura,6,20,80.4,Zoom,2.41,No,Sí
26,Femenino,Medicina,6,11,68.6,Blackboard,1.91,Sí,Sí
