edad,genero,carrera,materias_inscritas,horas_estudio_semana,asistencia,uso_plataformas,gpa,trabajo,internet
18,M,Derecho,7,8,55.1,Zoom,1.5,0,1
28,M,Ingeniería en Sistemas,8,13,75.0,Google Classroom,2.19,1,1
19,M,Arquitectura,6,12,86.0,Microsoft Teams,2.15,1,1
19,M,Turismo,7,12,93.6,Blackboard,2.97,0,1
17,M,Contaduría Pública,7,18,86.0,Zoom,3.0,0,1
24,M,Administración de Empresas,4,3,90.5,Zoom,2.63,0,1
24,F,Ingeniería en Sistemas,6,7,93.7,Canvas,1.98,1,1
27,F,Administración de Empresas,5,17,72.9,Microsoft Teams,2.22,1,0
25,F,Derecho,4,18,75.8,Moodle,2.43,1,1
21,M,Psicología,4,16,97.3,Microsoft Teams,2.46,0,1
30,M,Arquitectura,8,17,59.8,Microsoft Teams,1.99,1,1
19,F,Arquitectura,8,15,84.4,Blackboard,2.63,1,1
21,M,Ingeniería Industrial,8,17,67.2,Microsoft Teams,1.93,1,1
21,M,Medicina,4,21,94.5,Blackboard,2.61,0,1
35,F,Ingeniería Industrial,5,20,77.7,Zoom,2.21,0,1
30,M,Ingeniería en Sistemas,7,13,78.1,Zoom,1.74,0,1
20,F,Mercadotecnia,8,24,100.0,Google Classroom,3.32,1,1
29,F,Ingeniería Industrial,5,19,61.9,Blackboard,1.87,0,1
26,M,Contaduría Pública,6,26,81.2,Blackboard,2.54,1,1
34,M,Ingeniería Industrial,8,28,75.3,Moodle,2.91,1,1
24,F,Ingeniería Industrial,7,7,86.0,Canvas,2.03,0,1
24,F,Mercadotecnia,6,11,100.0,Microsoft Teams,2.33,1,1
23,M,Medicina,6,23,68.9,Moodle,2.64,1,1
24,No binario,Derecho,7,6,60.0,Blackboard,1.5,1,1
30,M,Contaduría Pública,8,27,65.9,Moodle,1.86,1,1
35,F,Ingeniería Industrial,4,15,74.5,Google Classroom,2.56,1,1
22,No binario,Psicología,7,22,79.0,Canvas,2.31,0,1
17,M,Mercadotecnia,7,17,79.7,Blackboard,2.13,0,1
31,M,Psicología,7,8,100.0,Blackboard,2.14,1,1
17,M,Mercadotecnia,6,25,100.0,Microsoft Teams,3.13,0,0
33,M,Psicología,5,37,97.5,Canvas,3.51,1,1
17,M,Mercadotecnia,4,14,100.0,Google Classroom,2.92,1,1
31,F,Turismo,8,15,90.4,Zoom,2.97,0,1
18,M,Psicología,8,3,94.6,Moodle,1.82,1,1
30,F,Medicina,5,27,90.1,Microsoft Teams,2.72,0,1
24,No binario,Comunicación Social,7,24,87.6,Blackboard,2.66,1,0
24,F,Contaduría Pública,4,5,83.9,Zoom,2.03,0,1
35,F,Ingeniería en Sistemas,8,3,72.0,Google Classroom,1.54,0,1
23,M,Derecho,8,4,59.3,Canvas,1.5,1,0
35,F,Turismo,7,22,76.0,Moodle,2.11,1,1
22,F,Enfermería,5,23,86.5,Microsoft Teams,2.09,0,1
22,M,Administración de Empresas,4,11,79.1,Blackboard,1.77,1,1
19,M,Ingeniería Industrial,5,21,62.0,Blackboard,2.55,1,1
23,F,Ingeniería en Sistemas,5,19,75.5,Zoom,2.49,0,1
35,M,Administración de Empresas,4,15,74.7,Zoom,2.1,1,1
24,M,Contaduría Pública,4,24,77.1,Moodle,2.83,0,0
26,M,Ingeniería en Sistemas,8,9,85.4,Canvas,1.72,1,1
31,M,Psicología,8,26,88.6,Google Classroom,2.94,1,1
31,F,Psicología,4,12,70.5,Canvas,1.5,0,1
17,F,Enfermería,6,30,92.7,Canvas,3.29,0,1
23,F,Administración de Empresas,8,10,95.0,Canvas,2.42,1,1
20,M,Derecho,6,15,82.8,Moodle,2.41,0,1
22,M,Contaduría Pública,4,18,88.0,Moodle,2.91,1,1
17,F,Psicología,8,18,92.8,Google Classroom,2.89,0,1
21,M,Ingeniería Industrial,5,21,61.5,Canvas,1.8,1,1
17,M,Comunicación Social,4,9,93.8,Moodle,2.63,0,1
20,F,Medicina,7,17,66.1,Google Classroom,2.01,0,1
18,M,Medicina,6,18,67.6,Blackboard,1.56,0,1
26,F,Mercadotecnia,4,14,80.9,Google Classroom,2.21,0,1
21,M,Derecho,4,20,45.8,Canvas,2.0,0,1
26,M,Medicina,8,8,80.6,Microsoft Teams,1.66,0,1
17,M,Mercadotecnia,8,15,92.7,Canvas,2.92,0,1
22,No binario,Administración de Empresas,8,12,53.3,Microsoft Teams,1.5,0,1
29,F,Psicología,7,15,94.3,Google Classroom,2.41,1,1
31,F,Turismo,8,28,67.5,Blackboard,2.4,1,1
20,F,Psicología,4,28,81.1,Blackboard,2.35,0,1
29,M,Turismo,8,26,69.7,Moodle,2.25,1,1
31,F,Ingeniería Industrial,5,14,86.6,Blackboard,2.14,1,1
24,F,Comunicación Social,8,24,93.4,Zoom,2.9,0,0
21,F,Ingeniería en Sistemas,7,18,87.7,Google Classroom,1.65,1,1
31,M,Medicina,5,18,77.9,Moodle,2.57,1,0
20,F,Administración de Empresas,4,17,70.9,Blackboard,2.39,0,1
28,M,Turismo,4,30,77.0,Google Classroom,3.23,1,1
29,M,Arquitectura,6,27,87.8,Canvas,2.51,0,1
18,F,Medicina,5,23,88.4,Blackboard,2.7,0,1
35,F,Derecho,6,16,86.3,Microsoft Teams,2.72,1,1
35,M,Ingeniería Industrial,5,18,58.8,Google Classroom,2.28,1,1
20,M,Ingeniería en Sistemas,5,21,77.7,Moodle,2.93,0,1
20,F,Medicina,7,14,68.5,Canvas,2.02,0,1
27,F,Administración de Empresas,6,24,88.0,Zoom,2.81,1,1
21,F,Medicina,7,11,66.5,Canvas,1.5,1,1
27,F,Turismo,5,20,84.8,Blackboard,2.9,1,1
26,F,Derecho,4,3,73.8,Microsoft Teams,1.5,1,1
24,M,Arquitectura,5,14,49.8,Canvas,1.63,0,1
22,F,Contaduría Pública,7,32,92.0,Zoom,3.25,0,1
22,M,Enfermería,6,25,77.6,Moodle,1.94,1,1
24,M,Arquitectura,6,28,97.1,Google Classroom,2.94,1,1
31,F,Mercadotecnia,7,13,53.0,Microsoft Teams,1.77,1,1
30,M,Medicina,6,18,73.6,Zoom,2.26,1,1
27,F,Psicología,8,26,74.8,Blackboard,2.79,1,1
28,F,Comunicación Social,4,22,82.1,Blackboard,2.85,1,0
29,F,Psicología,4,21,58.1,Blackboard,1.85,1,1
24,F,Arquitectura,4,29,86.2,Microsoft Teams,2.86,1,1
34,F,Turismo,6,10,100.0,Canvas,2.4,0,0
17,F,Psicología,6,16,85.1,Microsoft Teams,2.65,0,0
31,F,Administración de Empresas,5,5,79.4,Blackboard,1.74,1,1
24,M,Psicología,5,10,57.3,Zoom,1.5,1,1
27,F,Ingeniería en Sistemas,4,25,66.4,Google Classroom,2.38,1,1
28,M,Contaduría Pública,8,11,77.2,Google Classroom,2.25,1,1
28,F,Medicina,5,23,70.1,Microsoft Teams,2.83,1,1
20,F,Ingeniería Industrial,5,29,93.4,Blackboard,3.24,1,1
32,F,Psicología,6,16,86.0,Moodle,1.99,0,0
20,M,Derecho,8,21,100.0,Microsoft Teams,2.81,1,1
21,M,Ingeniería Industrial,4,23,63.3,Blackboard,2.43,0,1
21,F,Contaduría Pública,5,9,78.5,Canvas,2.23,0,1
24,M,Turismo,8,13,57.2,Google Classroom,1.87,0,1
26,M,Contaduría Pública,8,10,44.7,Google Classroom,1.5,1,1
33,M,Psicología,4,14,88.8,Google Classroom,2.66,0,1
25,F,Contaduría Pública,8,23,85.4,Moodle,2.54,0,1
35,F,Ingeniería Industrial,8,13,65.2,Blackboard,1.94,1,1
30,M,Comunicación Social,8,17,79.4,Blackboard,2.57,1,1
24,M,Turismo,5,10,68.6,Blackboard,1.99,1,1
25,M,Psicología,4,26,70.6,Blackboard,2.75,0,1
27,F,Administración de Empresas,8,14,73.2,Moodle,2.26,0,1
17,F,Arquitectura,8,28,64.6,Zoom,2.22,0,1
30,M,Ingeniería en Sistemas,5,18,67.3,Microsoft Teams,2.15,0,1
21,M,Enfermería,4,8,67.7,Microsoft Teams,1.5,1,1
30,M,Mercadotecnia,6,16,84.3,Blackboard,2.31,1,1
20,F,Turismo,5,10,36.4,Canvas,1.5,0,1
17,F,Contaduría Pública,4,22,74.6,Google Classroom,2.57,0,1
35,M,Administración de Empresas,8,16,61.7,Moodle,1.5,1,1
24,M,Medicina,4,19,62.2,Canvas,2.27,0,1
31,M,Medicina,4,15,70.1,Canvas,2.07,0,1
31,F,Mercadotecnia,4,14,77.8,Blackboard,2.75,0,1
25,M,Turismo,6,11,74.8,Moodle,1.92,0,1
25,F,Turismo,4,23,62.0,Microsoft Teams,2.2,0,0
26,F,Ingeniería en Sistemas,6,16,88.8,Google Classroom,2.69,1,1
25,M,Contaduría Pública,8,15,64.5,Microsoft Teams,1.91,0,1
19,M,Comunicación Social,6,16,67.0,Canvas,2.13,1,1
27,M,Mercadotecnia,8,13,82.3,Google Classroom,2.52,0,0
22,F,Ingeniería en Sistemas,8,15,82.8,Zoom,2.24,1,1
18,F,Contaduría Pública,6,19,68.8,Canvas,2.58,0,1
23,F,Ingeniería Industrial,5,10,34.0,Microsoft Teams,1.5,1,0
34,F,Administración de Empresas,7,11,64.7,Microsoft Teams,2.26,1,0
18,M,Arquitectura,4,27,80.4,Blackboard,2.27,0,1
33,F,Comunicación Social,7,15,88.3,Microsoft Teams,2.84,0,1
27,F,Ingeniería Industrial,4,14,76.8,Moodle,1.6,0,1
28,M,Ingeniería Industrial,4,8,70.8,Canvas,2.37,1,1
35,No binario,Enfermería,8,23,100.0,Google Classroom,3.07,0,1
23,F,Medicina,4,10,72.4,Microsoft Teams,1.61,0,1
22,F,Derecho,4,17,87.2,Blackboard,3.06,0,1
17,F,Administración de Empresas,6,6,58.0,Blackboard,1.5,1,1
33,F,Medicina,7,23,61.6,Microsoft Teams,2.19,0,1
27,F,Psicología,6,26,87.7,Moodle,3.69,1,0
34,M,Ingeniería Industrial,4,21,93.7,Blackboard,2.93,0,1
33,M,Derecho,8,7,72.2,Google Classroom,1.5,0,1
23,F,Turismo,6,23,50.3,Canvas,1.95,0,1
33,M,Medicina,6,12,75.5,Zoom,1.93,0,0
25,M,Ingeniería en Sistemas,5,9,80.8,Moodle,2.07,1,1
33,M,Comunicación Social,4,15,79.5,Blackboard,2.24,1,1
24,M,Medicina,8,15,69.5,Canvas,2.22,1,1
33,F,Enfermería,6,14,75.7,Zoom,1.68,1,1
23,F,Arquitectura,6,26,66.8,Microsoft Teams,2.33,0,0
17,M,Ingeniería en Sistemas,8,32,61.3,Microsoft Teams,2.74,0,1
29,M,Administración de Empresas,4,8,89.3,Google Classroom,1.91,0,1
35,M,Administración de Empresas,5,13,79.5,Zoom,2.5,1,1
35,F,Administración de Empresas,6,18,75.7,Microsoft Teams,2.09,1,1
33,F,Administración de Empresas,5,15,70.4,Microsoft Teams,2.12,1,1
29,M,Arquitectura,7,20,75.3,Blackboard,2.36,1,1
32,F,Medicina,4,24,80.4,Google Classroom,2.37,1,1
24,F,Contaduría Pública,7,23,100.0,Canvas,3.04,0,1
35,F,Medicina,7,22,87.8,Microsoft Teams,2.34,1,1
34,F,Ingeniería Industrial,7,29,68.0,Moodle,2.52,0,1
17,M,Psicología,4,6,68.2,Moodle,1.64,1,1
30,F,Comunicación Social,4,28,65.8,Canvas,2.13,0,1
35,F,Derecho,8,15,75.0,Zoom,2.35,0,1
31,F,Contaduría Pública,5,23,65.8,Google Classroom,2.42,0,1
34,F,Contaduría Pública,5,10,85.1,Blackboard,2.31,0,0
18,F,Ingeniería Industrial,8,11,38.3,Moodle,1.5,0,1
33,F,Medicina,8,22,86.0,Moodle,2.35,0,1
34,M,Contaduría Pública,7,4,82.1,Canvas,1.82,0,0
22,F,Mercadotecnia,8,24,96.9,Zoom,3.19,1,0
35,No binario,Mercadotecnia,6,26,91.2,Zoom,2.62,1,1
20,F,Psicología,5,19,67.7,Canvas,1.87,1,1
17,M,Turismo,8,18,89.5,Moodle,2.52,0,1
24,M,Derecho,6,12,75.5,Google Classroom,1.93,0,1
23,M,Enfermería,6,22,49.0,Moodle,1.95,0,1
19,F,Arquitectura,6,20,80.4,Zoom,2.41,0,1
26,F,Medicina,6,11,68.6,Blackboard,1.91,1,1
